keystroke_rate,avg_key_gap,cpu_usage,memory_usage,process_count,window_switches,label
1.7968698003570345,0.4110143184661865,29.1,60.0,466,11,1
0.0,0.0,7.7,74.7,272,0,1
1.3976840913538715,0.2627288103103637,12.6,73.7,296,3,0
0.0,0.0,12.3,44.1,226,4,0
1.1983793622449574,0.4079803466796875,12.3,46.9,232,17,0
3.2413209768039666,0.1864195834638531,32.07578470889424,65.0036375191532,356,11,1
0.0,0.0,6.8,75.1,273,0,1
0.1998364166372103,0.0,16.8,41.9,213,4,0
2.3987660461375366,0.3492631045254794,4.2,71.5,271,0,1
5.766394175415029,0.0542427830005887,48.50037174255127,69.50868147339216,404,8,1
0.0,0.0,6.9,75.0,274,0,1
0.1998317037795946,0.0,16.9,42.4,213,4,0
0.0,0.0,7.0,74.7,273,0,1
2.9969859394812777,0.2365702050072806,17.2,46.6,227,12,0
10.069591310514696,0.2876339999557243,32.087331695032915,78.50155506774982,426,8,1
0.0,0.0,18.3,71.5,294,6,0
0.0,0.0,7.5,59.2,265,16,1
0.0,0.0,15.3,63.6,265,19,1
0.0,0.0,14.7,41.9,216,4,0
0.1998197274568803,0.0,15.6,42.4,217,4,0
3.795685684220564,0.2635510630077786,14.7,46.7,229,17,0
0.0,0.0,21.5,75.5,282,0,1
5.194704134510968,0.3485088778992322,42.40928132514287,82.59210797657704,448,16,1
0.0,0.0,39.9,68.1,483,24,1
9.443992257005542,0.1978100689305662,37.17927186699528,79.84765367756683,304,10,1
1.798901351522908,0.5622837841510773,5.8,73.1,293,3,0
12.353933918186984,0.2745642491643922,44.39228374245472,84.88814483603853,389,14,1
0.0,0.0,15.5,62.3,268,5,1
3.95207724376434,0.0885299137044679,23.560975399848274,71.09003261648886,477,12,1
0.1996850213762699,0.0,8.1,55.5,260,1,1
0.0,0.0,15.5,42.0,215,4,0
0.0,0.0,8.3,72.2,278,0,1
0.0,0.0,33.0,85.3,309,3,1
0.0,0.0,10.5,41.6,215,4,0
2.9965370144328216,0.3271569354193551,10.2,73.1,294,3,0
2.399177337444612,0.2748359983617609,4.2,72.0,275,0,1
0.0,0.0,43.8,85.3,312,3,1
0.0,0.0,4.9,54.4,258,6,0
0.0,0.0,14.9,41.7,215,4,0
3.1991827954180216,0.2793977578481038,9.1,66.4,272,7,1
1.79871131717965,0.5931479930877686,2.5,50.9,257,3,0
0.0,0.0,6.6,54.6,259,6,0
7.106511653474314,0.1307947092302747,28.28497943671037,82.47216344282296,413,14,1
0.1998114838590795,0.0,27.8,42.4,213,4,0
0.3996294405888704,3.663964748382568,11.0,41.9,214,4,0
1.7982845934252036,0.5586570203304291,1.7,50.9,257,3,0
0.0,0.0,15.7,46.7,233,12,0
13.386917930973931,0.3139698353513121,24.48736698340151,60.19130707055644,432,14,1
0.0,0.0,38.5,86.9,311,3,1
19.768159296154685,0.2801406766133265,41.69778509428424,71.28558285674188,372,19,1
0.0,0.0,17.9,78.3,283,0,1
0.0,0.0,16.0,42.1,211,4,0
2.5976456903630862,0.361322820186615,16.9,46.0,226,8,0
1.9992209609178249,0.5000845591227213,3.6,72.7,282,0,1
0.0,0.0,7.9,75.0,272,0,1
0.0,0.0,16.2,63.8,275,5,1
0.0,0.0,20.9,75.9,274,0,1
0.0,0.0,23.1,77.1,293,3,0
0.0,0.0,15.0,42.2,219,4,0
1.3989117028983695,0.7307721376419067,4.2,51.1,257,3,0
0.3996098703153212,1.224026441574097,17.2,41.8,215,4,0
0.0,0.0,13.9,77.1,285,1,1
0.1998216694657459,0.0,9.8,46.7,229,17,0
0.0,0.0,7.2,54.8,259,6,0
0.0,0.0,18.1,73.5,292,3,0
12.621374571256988,0.069182605912882,38.60563506596517,79.41205183996931,419,15,1
1.1990113018778146,0.4884788990020752,2.2,72.4,279,0,1
0.0,0.0,6.6,74.6,273,0,1
0.0,0.0,32.3,85.5,309,3,1
7.84139045191013,0.2956290665146519,21.80016429320029,76.96124667830603,411,8,1
0.0,0.0,26.9,85.5,310,3,1
0.0,0.0,6.3,73.7,295,3,0
0.0,0.0,5.8,54.5,258,6,0
0.0,0.0,21.8,41.7,215,4,0
0.0,0.0,9.4,73.5,293,3,0
0.0,0.0,12.8,54.6,454,5,1
0.0,0.0,13.7,69.4,271,19,1
0.0,0.0,9.6,72.8,282,0,1
0.0,0.0,28.2,83.3,302,3,1
0.0,0.0,5.5,53.5,257,5,0
15.694381915817454,0.1400523815238217,24.950430006962847,68.43681822629553,393,18,1
0.0,0.0,14.9,43.6,223,4,0
14.348188078902757,0.1212780213559059,38.00228996886848,60.73064012447247,471,11,1
0.0,0.0,5.7,53.5,256,5,0
0.0,0.0,41.8,70.3,489,25,1
7.862851592950926,0.1184717452363148,39.32316706328177,83.83833882654676,300,10,1
0.0,0.0,6.1,54.6,256,6,0
0.0,0.0,16.1,41.8,222,4,0
0.0,0.0,39.2,43.8,228,4,0
0.0,0.0,10.8,41.9,222,4,0
0.0,0.0,15.2,41.8,209,4,0
0.0,0.0,5.4,71.7,271,0,1
0.0,0.0,73.8,45.1,231,7,0
0.0,0.0,45.1,55.9,454,7,1
0.0,0.0,29.7,85.3,309,3,1
0.0,0.0,11.0,54.0,259,3,0
0.0,0.0,8.7,72.3,278,0,1
0.0,0.0,27.2,75.1,285,0,1
0.0,0.0,22.7,75.8,273,0,1
0.0,0.0,24.8,83.5,306,3,1
0.0,0.0,28.4,85.6,310,3,1
13.118449642365851,0.0511571443797864,43.824678328752405,75.92642354946241,437,8,1
4.797664253614931,0.2140910625457763,7.2,68.7,274,7,1
0.0,0.0,32.9,55.0,449,2,1
2.5986213559529148,0.3132513761520386,2.1,51.1,257,3,0
1.798995655005989,0.5127863883972168,2.0,50.9,257,3,0
2.598673496256951,0.4011071920394897,4.2,71.5,271,0,1
0.0,0.0,7.7,74.7,272,0,1
0.0,0.0,19.9,76.9,273,19,1
2.599025157361612,0.4103604555130005,5.9,68.3,273,7,1
0.0,0.0,5.9,54.7,257,6,0
0.0,0.0,16.9,42.1,219,4,0
